date,station_301,station_356,station_391,station_428,station_446,station_462,station_463,station_473,station_508,station_518,station_539,station_540,station_541,station_574,station_575,station_587,station_633,station_697,station_724,station_771,station_778,station_784,station_809,station_834,station_846,station_848,station_977,station_1049,station_1050,station_1051,station_1052,station_1067,station_1258
1979-06-08,,,,,,,,,,,,,,,,502,,,,,,,,,32,,,,,,,32,
1979-06-09,,,,,,,,,,,,,,,,506,,,,,,,,,32,,,,,,,32,
1979-06-10,,,,,,,,,,,,,,,,510,,,,,,,,,32,,,,,,,32,
1979-06-11,,,,,,,,,,,,,,,,516,,,,,,,,,32,,,,,,,32,
1979-06-12,,,,,,,,,,,,,,,,521,,,,,,,,,32,,,,,,,32,
1979-06-13,,,,,,,,,,,,,,,,525,,,,,,,,,32,,,,,,,32,
1979-06-14,,,,,,,,,,,,,,,,532,,,,,,,,,32,,,,,,,32,
1979-06-15,,,,,,,,,,,,,,,,536,,,,,,,,,32,,,,,,,32,
1979-06-16,,,,,,,,,,,,,,,,540,,,,,,,,,32,,,,,,,32,
1979-06-17,,,,,,,,,,,,,,,,544,,,,,,,,,32,,,,,,,32,
1979-06-18,,,,,,,,,,,,,,,,546,,,,,,,,,32,,,,,,,32,
1979-06-19,,,,,,,,,,,,,,,,551,,,,,,,,,32,,,,,,,32,
1979-06-20,,,,,,,,,,,,,,,,553,,,,,,,,,32,,,,,,,32,
1979-06-21,,,,,,,,,,,,,,,,558,,,,,,,,,32,,,,,,,32,
1979-06-22,,,,,,,,,,,,,,,,560,,,,,,,,,32,,,,,,,32,
1979-06-23,,,,,,,,,,,,,,,,563,,,,,,,,,32,,,,,,,32,
1979-06-24,,,,,,,,,,,,,,,,569,,,,,,,,,32,,,,,,,32,
1979-06-25,,,,,,,,,,,,,,,,573,,,,,,,,,32,,,,,,,32,
1979-06-26,,,,,,,,,,,,,,,,577,,,,,,,,,32,,,,,,,32,
1979-06-27,,,,,,,,,,,,,,,,580,,,,,,,,,32,,,,,,,32,
1979-06-28,,,,,,,,,,,,,,,,582,,,,,,,,,32,,,,,,,32,
1979-06-29,,,,,,,,,,,,,,,,584,,,,,,,,,32,,,,,,,32,
1979-06-30,,,,,,,,,,,,,,,,588,,,,,,,,,32,,,,,,,32,
1979-07-01,,,,,,,,,,,,,,,,592,,,,,,,,,32,,,,,,,32,
1979-07-02,,,,,,,,,,,,,,,,593,,,,,,,,,32,,,,,,,32,
1979-07-03,,,,,,,,,,,,,,,,594,,,,,,,,,32,,,,,,,32,
1979-07-04,,,,,,,,,,,,,,,,599,,,,,,,,,32,,,,,,,32,
1979-07-05,,,,,,,,,,,,,,,,601,,,,,,,,,32,,,,,,,32,
1979-07-06,,,,,,,,,,,,,,,,608,,,,,,,,,32,,,,,,,32,
1979-07-07,,,,,,,,,,,,,,,,611,,,,,,,,,32,,,,,,,32,
1979-07-08,,,,,,,,,,,,,,,,617,,,,,,,,,32,,,,,,,32,
1979-07-09,,,,,,,,,,,,,,,,619,,,,,,,,,32,,,,,,,32,
1979-07-10,,,,,,,,,,,,,,,,623,,,,,,,,,32,,,,,,,32,
1979-07-11,,,,,,,,,,,,,,,,630,,,,,,,,,32,,,,,,,32,
1979-07-12,,,,,,,,,,,,,,,,633,,,,,,,,,32,,,,,,,32,
1979-07-13,,,,,,,,,,,,,,,,636,,,,,,,,,32,,,,,,,32,
1979-07-14,,,,,,,,,,,,,,,,35,,,,,,,,,32,,,,,,,32,
1979-07-15,,,,,,,,,,,,,,,,40,,,,,,,,,32,,,,,,,32,
1979-07-16,,,,,,,,,,,,,,,,42,,,,,,,,,32,,,,,,,32,
1979-07-17,,,,,,,,,,,,,,,,46,,,,,,,,,32,,,,,,,32,
1979-07-18,,,,,,,,,,,,,,,,49,,,,,,,,,32,,,,,,,32,
1979-07-19,,,,,,,,,,,,,,,,55,,,,,,,,,32,,,,,,,32,
1979-07-20,,,,,,,,,,,,,,,,57,,,,,,,,,32,,,,,,,32,
1979-07-21,,,,,,,,,,,,,,,,62,,,,,,,,,32,,,,,,,32,
1979-07-22,,,,,,,,,,,,,,,,65,,,,,,,,,32,,,,,,,32,
1979-07-23,,,,,,,,,,,,,,,,73,,,,,,,,,32,,,,,,,32,
1979-07-24,,,,,,,,,,,,,,,,77,,,,,,,,,32,,,,,,,32,
1979-07-25,,,,,,,,,,,,,,,,82,,,,,,,,,32,,,,,,,32,
1979-07-26,,,,,,,,,,,,,,,,88,,,,,,,,,32,,,,,,,32,
1979-07-27,,,,,,,,,,,,,,,,91,,,,,,,,,32,,,,,,,32,
1979-07-28,,,,,,,,,,,,,,,,97,,,,,,,,,32,,,,,,,32,
1979-07-29,,,,,,,,,,,,,,,,99,,,,,,,,,32,,,,,,,32,
1979-07-30,,,,,,,,,,,,,,,,101,,,,,,,,,32,,,,,,,32,
1979-07-31,,,,,,,,,,,,,,,,104,,,,,,,,,32,,,,,,,32,
1979-08-01,,,,,,,,,,,,,,,,107,,,,,,,,,32,,,,,,,32,
1979-08-02,,,,,,,,,,,,,,,,111,,,,,,,,,32,,,,,,,32,
1979-08-03,,,,,,,,,,,,,,,,118,,,,,,,,,32,,,,,,,32,
1979-08-04,,,,,,,,,,,,,,,,121,,,,,,,,,32,,,,,,,32,
1979-08-05,,,,,,,,,,,,,,,,124,,,,,,,,,32,,,,,,,32,
